session_id,user_id,date,exercise,sets,reps,weight_kg,RPE,notes
W001,C001,2024-01-03,goblet_squat,3,12,20,6,
W001,C001,2024-01-03,dumbbell_bench_press,3,10,22.5,7,
W001,C001,2024-01-03,one_arm_dumbbell_row,3,12,22.5,6,
W001,C001,2024-01-03,plank,3,45sec,0,5,
W002,C001,2024-01-05,romanian_deadlift,3,10,40,7,Felt lower back
W002,C001,2024-01-05,arnold_press,3,12,12.5,6,
W002,C001,2024-01-05,lat_pulldown,3,10,45,7,
W002,C001,2024-01-05,side_plank,3,30sec,0,5,
W003,C002,2024-01-04,bodyweight_squat,3,15,0,5,
W003,C002,2024-01-04,push_up,3,8,0,6,
W003,C002,2024-01-04,inverted_row,3,10,0,7,
W004,C002,2024-01-07,kettlebell_swing,4,15,16,7,
W004,C002,2024-01-07,dumbbell_shoulder_press,3,12,8,6,
W004,C002,2024-01-07,face_pull,3,15,10,5,
W005,C003,2024-01-02,conventional_deadlift,4,5,140,8,
W005,C003,2024-01-02,barbell_bench_press,4,5,100,8,
W005,C003,2024-01-02,pull_up,4,6,0,8,Bodyweight
W006,C003,2024-01-06,barbell_back_squat,4,5,120,8,
W006,C003,2024-01-06,bent_over_row,4,5,80,7,
W006,C003,2024-01-06,dips,3,10,0,8,
W007,C004,2024-01-03,glute_bridge,3,20,0,4,
W007,C004,2024-01-03,band_pull_apart,3,15,light,4,
W007,C004,2024-01-03,pallof_press,3,12,medium,5,
W008,C004,2024-01-07,goblet_squat,3,12,10,5,
W008,C004,2024-01-07,push_up,3,6,0,6,
W008,C004,2024-01-07,seated_cable_row,3,12,20,5,
W009,C005,2024-01-04,trap_bar_deadlift,3,8,110,7,
W009,C005,2024-01-04,incline_dumbbell_press,3,10,25,6,
W009,C005,2024-01-04,chin_up,3,6,0,7,
W010,C005,2024-01-08,bulgarian_split_squat,3,10,15,7,
W010,C005,2024-01-08,overhead_press,3,8,40,7,
W010,C005,2024-01-08,lateral_raise,3,15,8,6,
W011,C001,2024-02-01,goblet_squat,3,12,22.5,6,Progressing
W011,C001,2024-02-01,dumbbell_bench_press,3,10,25,6,
W011,C001,2024-02-01,one_arm_dumbbell_row,3,12,25,6,
W012,C002,2024-02-02,bodyweight_squat,3,15,0,5,
W012,C002,2024-02-02,push_up,3,10,0,5,Added reps
W013,C003,2024-02-05,conventional_deadlift,4,5,145,8.5,Heavy
W014,C004,2024-02-06,glute_bridge,3,25,0,4,
W015,C005,2024-02-07,trap_bar_deadlift,3,8,115,7,
W016,C001,2024-02-10,romanian_deadlift,3,10,42.5,7,
W017,C002,2024-02-12,kettlebell_swing,4,15,20,7,
W018,C003,2024-02-14,barbell_back_squat,4,5,125,8.5,
W019,C004,2024-02-16,goblet_squat,3,12,12,5,
W020,C005,2024-02-18,chin_up,3,7,0,7,
W021,C001,2024-02-20,dumbbell_bench_press,3,10,27.5,6.5,
W022,C002,2024-02-22,push_up,3,12,0,5.5,
W023,C003,2024-02-24,bent_over_row,4,5,85,7.5,
W024,C004,2024-02-26,band_pull_apart,3,15,light,4,
W025,C005,2024-02-28,arnold_press,3,12,15,6.5,
W026,C001,2024-03-01,dead_bug,3,12,0,5,
W027,C002,2024-03-03,inverted_row,3,10,0,6,
W028,C003,2024-03-05,pull_up,4,6,0,8,
W029,C004,2024-03-07,side_plank,3,35sec,0,5,
W030,C005,2024-03-10,lateral_raise,3,15,10,6,
